IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Ciara_V1V3.txt::country,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Ciara_V1V3.txt::env_feature,Ciara_V1V3.txt,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,Ciara_V1V3.txt::run_prefix_prep,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000617,Skin type swabbed,Ciara_V1V3.txt::Site,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000619,Number of treatments,Ciara_V1V3.txt::No. Treatment,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000621,Lesion size,Ciara_V1V3.txt::Lesion Size,Ciara_V1V3.txt,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000632,Skin lesion duration,Ciara_V1V3.txt::Lesion Duration,Ciara_V1V3.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000747,DNA extraction date,Ciara_V1V3.txt::ExtractionDate,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009012,Skin charateristics,Ciara_V1V3.txt::BodyType,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009013,Cured,Ciara_V1V3.txt::Cured,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009014,DTH testing result,Ciara_V1V3.txt::DTH,Ciara_V1V3.txt,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,Ciara_V1V3.txt::title,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,Ciara_V1V3.txt::host_subject_id,Ciara_V1V3.txt,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,Ciara_V1V3.txt::sample_type,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,Ciara_V1V3.txt::region,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Ciara_V1V3.txt::body_site,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Ciara_V1V3.txt::body_product,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Ciara_V1V3.txt::body_habitat,Ciara_V1V3.txt,"","","","","","","","","","","","","",""
